refcode,Density,smiles
REJROQ,1.951,O=N(=O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)C1=NON=C1C1=NOC(=NO1)C1=NON=C1N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
IREPUS,1.951,O=C(NC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
IHUFUP04,1.95,Nn1c(-c2nc([N+](=O)[O-])c([N+](=O)[O-])n2N)nc([N+](=O)[O-])c1[N+](=O)[O-]
IZUTIJ,1.948,Nc1c([N+](=O)[O-])c(N)[n+](O)c(=O)n1[O-]
JUNBEB,1.946,Nc1c([N+](=O)[O-])nnc2c([N+](=O)[O-])c([N+](=O)[O-])nn12
OQIYUL,1.945,O=C(c1nc([N+](=O)[O-])nn1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1nc([N+](=O)[O-])nn1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
REJRIK,1.943,O=N(=O)C(CNC1=NON=C1C1=NOC(=NO1)C1=NON=C1NCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
SEDTUQ09,1.941,NC(N)=C(N(=O)=O)N(=O)=O
CEYDUF,1.94,O=N(=O)C(CC(N(=O)=O)(N(=O)=O)N(=O)=O)(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
IMUWIX,1.94,ON1N=NC(=N1)N(=O)=O
OVOWEE,1.939,O=[N+]([O-])N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1nnc(N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])nn1
VALSUY,1.938,O=N(=O)C(COC(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
CAZBUC,1.938,O=N(=O)NC1=NC(=NN1)N(=O)=O
TATNBZ,1.937,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-]
VEGGUJ01,1.937,O=C1N([N+](=O)[O-])CN([N+](=O)[O-])CN1[N+](=O)[O-]
XERPAM01,1.937,O=[N+]([O-])c1nonc1-c1no[n+]([O-])c1-c1nonc1[N+](=O)[O-]
LEGYII,1.937,O=N(=O)C1=NN2CN3N=C(C(=C3NC2=C1N(=O)=O)N(=O)=O)N(=O)=O
BIZKOM,1.936,O=[N+]([O-])C(c1nc(-c2noc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n2)no1)([N+](=O)[O-])[N+](=O)[O-]
OCHTET27,1.936,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1
YOCJUY,1.936,O=[N+]([O-])c1no[n+]([O-])c1-c1no[n+]([O-])c1-c1c([N+](=O)[O-])no[n+]1[O-]
UDEQEB,1.935,O=N(=O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)C1=NON=C1N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
IZAKAV,1.933,O=C1NC2C(N(CCN2N(=O)=O)N(=O)=O)N1N(=O)=O
BINSAS,1.932,Nc1c([N+](=O)[O-])c2no[n+]([O-])c2c2no[n+]([O-])c12
VEGGUJ,1.932,O=C1N(CN(CN1N(=O)=O)N(=O)=O)N(=O)=O
CURTER,1.926,[N-]=[N+]=NCN1C2C3N([N+](=O)[O-])C(C4N([N+](=O)[O-])C1C(N4[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-]
DAFFUP,1.926,O=[N+]([O-])c1no[n+]([O-])c1-c1nnc(N=Nc2nnc(-c3c([N+](=O)[O-])no[n+]3[O-])o2)o1
QOYJOD01,1.926,O=C1NN=C(N1)N(=O)=O
BEVYOS,1.923,O=N(=O)C1=CN(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)C(=N1)N(=O)=O
ZODLOV,1.923,O=N(=O)C(CN=CC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
WETGIN,1.923,NN1N=C(C(=C1N(=O)=O)N)N(=O)=O
YEKQAG01,1.922,Nc1c([N+](=O)[O-])nc([N+](=O)[O-])c(N)[n+]1[O-]
ROZPUT,1.922,O=C1NN=C(N1)C(N(=O)=O)N(=O)=O
TIPNIR,1.922,O=C(CN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
QIFPON,1.921,Nc1c([N+](=O)[O-])c2nnnn2c2no[n+]([O-])c12
