refcode,Density,smiles
LEFFEI,1.552,CC(=O)ON=C(C1=CNC=N1)N(=O)=O
MNPHOL20,1.552,Oc1cccc(c1)N(=O)=O
IKAKOV,1.552,Oc1ccc(C=NNC(=O)c2ccc(cc2)N(=O)=O)c(O)c1
BERCUZ,1.552,COc1ccc(OC)c2C(=CN(C)C(=O)c12)N(=O)=O
WAKPAA,1.552,CC1=NON=C1C1=NC(=NO1)C1=NON=C1N1CCOCC1
XUQKAW,1.552,OCC1OC(CC1O)N1C=Nc2c(Nc3ccc(cc3)N(=O)=O)ncnc12
DAXMUL,1.551,O=[N+]([O-])c1ccc(NC2OCC(O)C(O)C2O)cc1
JOHBUD01,1.551,O=[N+]([O-])C1C([N+](=O)[O-])C12CC2
PONHAE,1.551,O=[N+]([O-])c1c2c(cc3c(-c4ccccn4)nccc13)OCO2
QIKDOD,1.551,O=[N+]([O-])c1ccc(NN=C(CN2CCOCC2)Cn2cnc([N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1
XARYOE,1.551,O=[N+]([O-])C12c3no[n+]([O-])c3C3C(=[N+]([O-])OC4C=CCC43)C1C1C=CC2C1
JOHBUD,1.551,O=N(=O)C1C(N(=O)=O)C21CC2
HOMDAP,1.551,CC(=O)NC12CC(O)C3=NOC(C(O)C=C1)C23
KOHQAA,1.551,COc1c(O)ccc(C=O)c1N(=O)=O
CAHOAM,1.551,NOC(N)=O
XEBKEW,1.55,Cc1cccc(C(=O)Oc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1
YIDPIM,1.55,O=Cc1ccccc1-n1nc2ccc([N+](=O)[O-])cc2[n+]1[O-]
YIJPIQ,1.55,O=[N+]([O-])c1ccc(NC2OC(CO)C(O)C(O)C2O)cc1
YOWLUS,1.55,CCNc1nc(OC)nc([C-]([N+](=O)[O-])[N+](=O)[O-])[nH+]1
IMICUE,1.55,COc1ccc(c(N)c1)N(=O)=O
ZZZKEA01,1.55,[O-][N+]1=C2C=CC=CC2=NO1
OFUKOR,1.55,CON1N=Nc2c1c1N=NN(OC)c1c1N=NN(OC)c21
PALQOL,1.55,CN1C(=C(c2ccccc12)C1=C(C=C(C2=NON=C12)N(=O)=O)N(=O)=O)C
NITPOL08,1.55,Oc1ccc(cc1)N(=O)=O
TAFKAM,1.55,C1CNC2=NON=C2N1
HIZHAB,1.55,O=C(OCc1ccccc1)c1ccc(cc1N(=O)=O)N(=O)=O
ADEWEM,1.549,CC(=NNc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccccc1
CMDNFL,1.549,N#CC(C#N)=C1c2cc([N+](=O)[O-])ccc2-c2ccc([N+](=O)[O-])cc21
EGURIH,1.549,O=C(NC1CCC1C(=O)O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
EHEZIA,1.549,O=C([O-])C[NH+](CC(=O)O)Cc1ccc([N+](=O)[O-])cc1
ETUTIY,1.549,O=[N+]([O-])c1cccc(N2C=Nc3cccc([N+](=O)[O-])c3C2)c1
LAHCEC,1.549,O=C(O)CNc1ccc([N+](=O)[O-])cc1
PAVZIX,1.549,Nc1ccc(C(=O)NN=Cc2ccccc2[N+](=O)[O-])cc1
YOKQAQ,1.549,O=[N+]([O-])c1ccc(O)c2ncccc12
NIXXEZ,1.549,O=Cc1ccc(OC(=O)c2ccccc2)c(c1)N(=O)=O
EROFEX,1.549,Nc1cccc(c1N)N(=O)=O
NEKLAS,1.549,C[NH+]=C1N([O-])C=CC(=C1C)N(=O)=O
UXIJIV,1.549,CCC(=O)NN(=O)=O
RIJXEQ,1.549,CONc1c(cc(cc1N(=O)=O)C(=O)NC1=C(C)C(=NO1)C)N(=O)=O
QUFTIW,1.549,Cc1c(cccc1N(=O)=O)C(=O)OC(=O)c1cccc(c1C)N(=O)=O
JUMFAA,1.549,CC(=O)N1CC(C1)(N(=O)=O)N(=O)=O
GUTZAY,1.548,O=[N+]([O-])c1cccc(-c2nnc3c4ccccc4cnn23)c1
HOWJEI,1.548,O=[N+]([O-])C1CC([N+](=O)[O-])C2(OCCO2)C([N+](=O)[O-])C1
YAHJIB,1.548,Cc1cc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1
ZZZQSC01,1.548,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-]
JONPUZ,1.548,Cc1cccc(C(O)=O)c1N(=O)=O
VITNIW,1.548,CON=C(N=[N+]=[N-])c1ccc(cc1)N(=O)=O
OHAYEB,1.548,OCC1ON=CC(O)C1O
FUQLAE,1.548,CC(O)C(NC1=NC(=C(N=O)C(=O)N1C)N)C(O)=O
GILYUV,1.547,O=[N+]([O-])C1C2C3C4C5C3C3C2C(C41)C5C3[N+](=O)[O-]
JIGBUW,1.547,O=[N+]([O-])CC(O)C(O)C(O)C(O)C(O)CO
JUFLAX,1.547,O=C(Oc1ccc2cccc3c2c1C(=O)C=C3)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
KEPVIK,1.547,O=[N+]([O-])c1cc2cccc3c2c(c1[N+](=O)[O-])-c1ccccc1-3
ROKPIQ,1.547,O=C1OCc2ccc([N+](=O)[O-])cc21
ALUNOL,1.547,OCC1OC(ON2C(=O)c3ccccc3C2=O)C(N=[N+]=[N-])C(O)C1O
IBIYOK,1.547,CCCCOc1c(OC)cc(c2C3ON=C(C(Cc12)O3)N(=O)=O)N(=O)=O
JAKQUI,1.547,COC(=O)C1CC2(OC(=O)c3cc(cc(c3)N(=O)=O)N(=O)=O)C(ON(C)c3ccccc23)N1C(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
SAKXIO,1.547,CC1=NC2=C(C(c3ccccc3N(=O)=O)C3=C(O2)C(=O)c2ccccc2C3=O)C(=O)N1
DEVROL,1.546,O=C1OC(=O)c2ccccc2C1=C(O)c1ccc([N+](=O)[O-])cc1
GAKWUM,1.546,O=[N+]([O-])c1ccc(C=Nn2cnnc2)c([N+](=O)[O-])c1
VINCOK,1.546,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cccc3ccccc23)c([N+](=O)[O-])c1
QQQFGG02,1.546,O=N(=O)c1ccc(Nc2ccccc2)c(c1)N(=O)=O
NIKPEE,1.546,OCC1OC(CC1O)N1C=Cc2c1nccc2N(=O)=O
OMEVEH,1.546,C[N+]([O-])=C1C(=O)C=CC2=NOC=C12
FICDOK01,1.546,COC1=C(N=CN1C)N(=O)=O
FADTIQ,1.546,CC1=[N+]([O-])ON=C1C=NN1N=NN=C1N
APALOU,1.546,CC(=O)N1N=Cc2cc(ccc12)N(=O)=O
ACERIK01,1.546,O=N(=O)c1ccc(NN=Cc2ccccc2N(=O)=O)cc1
CEDMUV,1.545,O=[N+]([O-])c1ccc(Cc2nnn[nH]2)cc1
DELZEZ,1.545,CC1([N+](=O)[O-])C(=O)C(O)(c2ccccc2)C=C([N+](=O)[O-])C1[N+](=O)[O-]
ENPROP,1.545,CCOC(=O)C(C(O[N+](=O)[O-])c1ccc([N+](=O)[O-])cc1)[N+](=O)[O-]
REGCUB,1.545,Cc1cc2[nH]nc(-c3cccc([N+](=O)[O-])c3)n2n1
KERJEZ,1.545,O=C(ON=C1CCC2COC1O2)c1cccc(c1)N(=O)=O
UXAFIK01,1.545,CC12C(C(C(C(N(=O)=O)C1(O)CCC2=O)c1ccccc1N(=O)=O)N(=O)=O)c1ccccc1N(=O)=O
CUKCER,1.545,Nc1nc(nc(N)c1N=O)N1CCOCC1
CORYOZ,1.545,NC(=NO)c1ncccn1
BIDJED,1.544,CC(C)(c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1)c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1
DNBZIL,1.544,O=C(C(=O)c1ccc([N+](=O)[O-])cc1)c1ccc([N+](=O)[O-])cc1
ROZHUM,1.544,O=[N+]([O-])c1cc([N+](=O)[O-])c2cccnc2c1Nc1ccccc1
GACYUF,1.544,O=N(=O)c1cnc(N2CCCCC2)c(c1)N(=O)=O
IWAVOT,1.544,O=N(=O)C1=CC2=[N+]([O-])C3(CCCC3)[N+](=C2C=C1)[O-]
UDADEJ,1.544,ON=C1c2ccccc2C(=O)C23OC(=O)CC2OCC13O
DAZLAT,1.544,COc1cc(OC)c2C(=O)C3=C(C(ON(=O)=O)C(C)(O)OC3)C(=O)c2c1
KIZJOU,1.544,NC1=C(N=NN1c1ccccc1)C(=O)NO
MEWYIY,1.544,COc1ccc(cc1)C(=O)C1=Cc2cc(ccc2OC1=O)N(=O)=O
RUPSEA,1.544,NC1=CC(=NN1)c1ccc(cc1)N(=O)=O
TAFLOD,1.544,O=N(=O)c1cccc(c1)N1N=Nc2ccccc12
BABRIF,1.543,O=[N+]([O-])c1c(-c2ccccc2)no[n+]1[O-]
BEDROT,1.543,O=C1CN(c2ccccc2[N+](=O)[O-])C(=O)CN1c1ccccc1[N+](=O)[O-]
BEDWOX01,1.543,O=C1C=CC(=O)N1c1ccc([N+](=O)[O-])cc1
DEPVUP,1.543,O=[N+]([O-])OC1CC2c3ccccc3C1C2O[N+](=O)[O-]
MUZNEC,1.543,Cc1n[nH]nc1[N+](=O)[O-]
RASDEU,1.543,O=C(O)C(=O)Cc1ccccc1[N+](=O)[O-]
SECJER,1.543,Cc1ccc(C(=O)Oc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
XETJIR,1.543,COc1c(-n2ccnn2)cc([N+](=O)[O-])cc1[N+](=O)[O-]
YELQIS,1.543,CCOC(=O)C1=NOC(=C1C=O)c1ccc(cc1)N(=O)=O
ZZZNQQ02,1.543,OC(=O)C=Cc1ccccc1N(=O)=O
RUXNEF,1.543,OC(C[NH+]=Cc1cc(ccc1[O-])N(=O)=O)C[NH+]=Cc1cc(ccc1[O-])N(=O)=O
SORBEG01,1.543,O=N(=O)c1ccc(cc1)N1C=CC=N1
AFUSEB,1.543,COc1cc(OC)c(C=NNc2ccc(cc2N(=O)=O)N(=O)=O)cc1OC
CABZIR,1.542,O=C1c2ccccc2C(=O)C1(O)C[N+](=O)[O-]
HABMAZ,1.542,Cc1cc[n+](O)c([N-][N+](=O)[O-])c1
HEXTIN02,1.542,Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C)c1[N+](=O)[O-]
KOLVIS,1.542,NC(=O)NNC(=O)c1ccc([N+](=O)[O-])cc1
KUNJOV,1.542,COc1ccc(C=NNc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c(O)c1
MEMDIS,1.542,O=[N+]([O-])c1ccc(C2=COC3OC2OC=C3c2ccc([N+](=O)[O-])cc2)cc1
SORBEG02,1.542,O=[N+]([O-])c1ccc(-n2cccn2)cc1
ZOWDEU,1.542,Cc1ccc([N+](=O)[O-])cc1Nc1nnn[nH]1
FUGLIE,1.542,CC(C)N1N=C(N=C1N(=O)=O)N(=O)=O
JESVAF,1.542,OC(=O)Cc1cccc(c1)N(=O)=O
FUSJEJ,1.542,CN1C(=CC2=C1C1=NO[N+](=C1C=C2N(=O)=O)[O-])c1ccccc1
UDEWEF,1.542,CC(=O)NC1=[N+]([O-])c2ccccc2N=N1
LEFKOY,1.541,COC(=O)c1cccc([N+](=O)[O-])c1C(=O)O
QUZLIH,1.541,CC([N+](=O)[O-])C1(O)COC2C(O)COC21
VIMFUV,1.541,CC(=O)c1ccc(Nc2ccc3nonc3c2[N+](=O)[O-])cc1
VINDAX,1.541,COc1ccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
MOKWUF,1.541,COc1nc(N)nc2Nc3ccccc3C(=Nc12)c1cccc(c1)N(=O)=O
GEJSOG,1.541,CN1CCOCON=[N+]([O-])N(C)CCOCON=[N+]1[O-]
FEPFAJ01,1.541,ON=C(C#N)c1ccc(cc1)C(=NO)C#N
CODYAX,1.54,O=C(O)c1cc(N=Nc2ccc([N+](=O)[O-])cc2)ccc1O
HELWAW,1.54,O=[N+]([O-])c1ccc(C2OCC3OC(c4ccc([N+](=O)[O-])cc4)OCC3O2)cc1
JODHOA,1.54,Nc1nnnn1-c1ccc([N+](=O)[O-])cc1
KAYVAH,1.54,O=[N+]([O-])c1ccc(-n2cccn2)c([N+](=O)[O-])c1
KOFKEV,1.54,O=[N+]([O-])N1CCCCN([N+](=O)[O-])C1
TUSYAJ,1.54,CC1([N+](=O)[O-])N=NCC1C1CN=NC1(C)[N+](=O)[O-]
XETKAK,1.54,O=[N+]([O-])c1ccc(Cn2ccnn2)cc1[N+](=O)[O-]
XETKIS,1.54,O=[N+]([O-])c1ccc(Cn2ccnn2)c([N+](=O)[O-])c1
MXPACX,1.54,NC(=NO)C(O)c1ccc2OCOc2c1
KENMOF,1.54,CC1=C(C#N)C(=O)C(C)(N(=O)=O)C(C)(N(=O)=O)C1(C)N(=O)=O
UMIJOP,1.54,OC1CCC(OC(=O)c2cc(cc(c2)N(=O)=O)N(=O)=O)C2CCC1O2
WEYZUX,1.54,COC(=O)C1=NOC2C1C(=O)N(C)C2=O
JETSEJ,1.54,COc1cnnc(OC)c1N(=O)=O
ANQDAZ,1.54,O=C1c2ccccc2C(=O)C2=C1C=CC1=NON=C21
ROFMAC,1.54,COc1cc(ccc1O)C=NNC(=O)C1=C(C)N(N=N1)c1ccc(cc1)N(=O)=O
SURDUG,1.54,O=C1OCC2=C1C(CN(=O)=O)c1ccccc1O2
EPAHEJ,1.54,CC1=NOC(=C1)C(O)=O
JIVZET,1.539,CCOC(=O)C(c1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
NIQQOU,1.539,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
QEBWUP,1.539,O=C(Nc1ccccc1[N+](=O)[O-])ON1C(=O)CCC1=O
YEFYEO,1.539,O=[N+]([O-])CC1(O)COC2C(O)COC21
ECINAH,1.539,COC(=O)c1cc(C(=O)c2ccccc2N(=O)=O)c2c3ccccc3OC(=O)c2c1O
UNUXOS,1.539,Oc1ccc(cc1C=NN1C=NN=C1)N(=O)=O
ROCPOP,1.539,O=C1OC(C(COC(=O)c2cc(cc(c2)N(=O)=O)N(=O)=O)C1Cc1ccc2OCOc2c1)c1ccc2OCOc2c1
WIGYOC,1.539,Oc1ccc(NC(=O)c2ccc(cc2)N(=O)=O)cc1
UDUQUG,1.539,COC1=NC(=CN1C)N(=O)=O
ACEDOE,1.539,COc1c2OCCOc2ccc1N(=O)=O
HIKMEW,1.538,CC(=O)CN1C(=N[N+](=O)[O-])NC2C1NC(=N[N+](=O)[O-])N2CC(C)=O
KABNEI,1.538,N#Cc1ccc(C=Cc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
NAMPIB,1.538,COC(=O)c1cc([N+](=O)[O-])ccc1O
SAHBEK,1.538,CNC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
SINZEW,1.538,O=C(NN=Cc1ccc([N+](=O)[O-])cc1)c1cc(O)cc(O)c1
VIFBAN,1.538,O=C(OC(=O)c1cccc([N+](=O)[O-])c1)c1cccc([N+](=O)[O-])c1
IXOGAD01,1.538,O=N(=O)c1ccc(Oc2ccc(cc2)N(=O)=O)cc1
KAZTAH,1.538,O=C(c1cccc(c1)N(=O)=O)c1cc(cc(c1)C(=O)c1cccc(c1)N(=O)=O)C(=O)c1cccc(c1)N(=O)=O
DEXJAU,1.537,O=C1Cc2cc([N+](=O)[O-])ccc2N1
DUQREN,1.537,O=C(O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)cc1
JERHUJ,1.537,O=[N+]([O-])CC(O)C(O)C(O)C(O)CO
TABFAD,1.537,COC1OC2COC(C)OC2C(O[N+](=O)[O-])C1O[N+](=O)[O-]
VAFCOV,1.537,O=C1c2ccccc2C(=O)c2cc(CO[N+](=O)[O-])ccc21
VAYLOW,1.537,O=c1oc2ccccc2c2ccc([N+](=O)[O-])cc12
COTLUT,1.537,CNc1c(cc(C)cc1N(=O)=O)N(=O)=O
XEPZID,1.537,COc1nc(Oc2ccc(cc2)N(=O)=O)nc(Oc2ccc(cc2)N(=O)=O)n1
SAWJUW,1.537,ON=CC1=NNC=C1
ISAJAN,1.536,[N-]=[N+]=NC(=O)c1ccccc1[N+](=O)[O-]
JAYGEW,1.536,O=C(O)C=CC(=O)Nc1ccc([N+](=O)[O-])cc1
NIVPAJ,1.536,Nc1cc(CO)ccc1[N+](=O)[O-]
UREJAD,1.536,O=[N+]([O-])c1cnccc1-c1ccncc1[N+](=O)[O-]
ZUHXAB,1.536,CC(CC(C)=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
OMOLOR,1.536,O=C1N(c2cccc(c2)N(=O)=O)C(=O)c2ccccc12
BIZNOP,1.536,CC1=NC(=NO1)C1=NOC(=N1)C
YEDKEA,1.536,CC(O)=C(C(C)=O)c1c(cc(c2cccnc12)N(=O)=O)N(=O)=O
CUQTOX,1.536,CCOC(=O)C1=NOC(=C1C(C)=NNc1ccc(cc1N(=O)=O)N(=O)=O)C
HEYJIH,1.536,Oc1ccc(cc1)N=CC1=CC=C(O1)N(=O)=O
GUHBER,1.536,OC1=C(C(CN(=O)=O)c2ccccc2N(=O)=O)C(=O)c2ccccc2C1=O
LOSDUT,1.536,CCNc1ccc(cc1N(=O)=O)C(O)=O
RUGNIR,1.536,COC(=O)c1ccc(cc1)N(=O)=O
GAZHAT,1.536,O=N(=O)c1cc[n+]([O-])c(c1)c1ccccn1
BYPOXO,1.535,O=C1OC(c2ccccc2)=NC1=Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
DIFPUF,1.535,O=[N+]([O-])c1ccc(-n2cc3ccccc3n2)c([N+](=O)[O-])c1
FUSZEY,1.535,O=c1[nH]c2c([N+](=O)[O-])cccc2c2ccccc12
LITKOR,1.535,O=[N+]([O-])c1cc(N2CCOCC2)on1
LUCVIP,1.535,O=[N+]([O-])c1ccc2c(c1)C1OCC(CO2)O1
NIMDES,1.535,O=C1OC(c2ccc(O)c([N+](=O)[O-])c2)(c2ccc(O)c([N+](=O)[O-])c2)c2ccccc21
VACRAT,1.535,Cc1ccc([N-][N+](=O)[O-])[n+](O)c1
VIHGAU,1.535,CN(c1ccccc1)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
WAFPEY,1.535,CCOC(=O)c1c(C)cc2c(CO[N+](=O)[O-])nn([N+](=O)[O-])c(=O)c2c1C
HIZHOP,1.535,O=C(OCc1ccc(cc1)N(=O)=O)c1ccccc1N(=O)=O
GAQDAG,1.535,COc1nc(nc(n1)C(=NO)N(=O)=O)N1CCOCC1
PELMUP,1.535,O=N(=O)c1ccc(cc1)C=NN=Cc1ccc(cc1)N(=O)=O
OHUJOQ,1.535,O=N(=O)c1ccc2NC34CCCCC3(Nc3ccc(cc3O4)N(=O)=O)Oc2c1
CATLUE,1.534,O=Cc1cn(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])nc1-c1ccccc1O
DELZAV,1.534,CC1(O)C(=O)C(O)(c2ccccc2)C=C([N+](=O)[O-])C1[N+](=O)[O-]
GIYZUJ,1.534,CCC(OC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)C(c1ccccc1)C(COC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)OC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
HOFFIS,1.534,COC(=O)c1cc(C(=O)OC)cc([N+](=O)[O-])c1
KEMREZ,1.534,O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccc([N+](=O)[O-])cc1
PUHFEE02,1.534,O=C1Nc2ccccc2C1(O)C[N+](=O)[O-]
GEJBON,1.534,O=CC=NNc1ccccc1N(=O)=O
YULVUY,1.534,O=C(OCC1CON1Cc1ccccc1)c1cc(cc(c1)N(=O)=O)N(=O)=O
HEXTIN,1.534,Cc1c(c(C)c(c(C)c1N(=O)=O)N(=O)=O)N(=O)=O
FEXBUF01,1.534,Cc1cc(cc[n+]1[O-])N(=O)=O
FESNEW01,1.533,COc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
SIRXAS,1.533,CC1([N+](=O)[O-])C=CC(C)(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c2ccccc21
DEVWOR,1.533,O=C1NCCc2ccc3c(cccc3N(=O)=O)c12
XIFQIN,1.533,CC1=NC(=CN1c1ccc(cc1)N(=O)=O)N(=O)=O
USIZEC,1.533,CN1C=C2C=CC(=CC2=N1)N(=O)=O
UXUGAW,1.533,CN1C=C(N=C1C1OCCO1)N(=O)=O
UXUKII,1.533,C[n+]1cccc([O-])c1C(N)=NO
YADWIK,1.533,COc1ccc(cc1)c1cccc2cccc(c12)c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
QAFREX,1.533,COc1cc(OC)c(c(OC)c1)C1=C(C2C3CC(C=C3)C2(C2=NON=C12)N(=O)=O)N(=O)=O
QEXNIR,1.533,COc1ccc(N)c(c1)N(=O)=O
DORKOL,1.532,O=C(Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)C1CCCN1
JERHIX,1.532,O=[N+]([O-])CC(O)C(O)C(O)C(O)CO
LERZIT,1.532,CC(=O)C=C(O)c1cc2cc([N+](=O)[O-])ccc2oc1=O
NPYRAM,1.532,O=[N+]([O-])c1cccnc1NCNc1ncccc1[N+](=O)[O-]
OCEHEL,1.532,N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2
RIZGUD,1.532,CC(=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccco1
TUQHET,1.532,CNc1ccc([N+](=O)[O-])cc1C(=O)O
VIGKIH,1.532,ON=C1NC(=O)c2ccccc12
TUBSOA,1.532,COc1ccc(NC(=O)CCC(O)=O)c(c1)N(=O)=O
HODWAZ,1.532,O=N(=O)C1=NC=CN1CCOCCOCCN1C=CN=C1N(=O)=O
OLUTUM,1.532,Oc1ccc(cc1C=NNc1ccccn1)N(=O)=O
HAXJOH,1.531,O=C(O)c1ccc(NC(=O)c2ccc(NC(=O)c3ccc(NC(=O)c4ccc([N+](=O)[O-])cc4)cc3)cc2)cc1
IDIKEL,1.531,Cc1cc(=O)c2cc3oc(C)c([N+](=O)[O-])c3cc2o1
NPIMPY,1.531,O=[N+]([O-])c1ccc(-n2cnc3ncccc32)c([N+](=O)[O-])c1
PICRIC,1.531,Cc1nn(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c2ccc(=O)ccc12
QONRUI,1.531,CN(CO)[N+](=O)[O-]
VELTIQ,1.531,O=C(OC(=O)c1ccccc1[N+](=O)[O-])c1ccccc1[N+](=O)[O-]
YILPEQ,1.531,O=[N+]([O-])c1cnc(N2CCOCC2)nc1
XETZAZ,1.531,CCC1=NN2C=CC=C(C2=N1)N(=O)=O
UCIHOF,1.531,CN1C(=NC(=Cc2cc(ccc2O)N(=O)=O)C1=O)C
TUPZUA,1.531,CN(C)C=C1N=C(OC1=O)c1ccc(cc1)N(=O)=O
QEBBUW,1.531,O=N(=O)c1cccc(n1)c1ccccn1
AZUVOH,1.531,O=C(Nc1cccc(c1)N(=O)=O)c1ccc(cc1)N(=O)=O
RABSOY,1.531,C1COC2=NON=C2N=NC2=NON=C2OCCO1
EXONIR,1.53,CON=[N+]([O-])C(CN(C)[N+](=O)[O-])[N+]([O-])=NOC
NAWQEH,1.53,O=[N+]([O-])c1cc([N+](=O)[O-])c(N2CCCCC2)c([N+](=O)[O-])c1
ROFQIO,1.53,O=[N+]([O-])c1cc(N(O)C2CCCO2)on1
JONWIU,1.53,Cc1cc(c(C)cc1N(=O)=O)N(=O)=O
RAPZUG,1.53,O=N(=O)c1ccc2CCCC3=NOc1c23
MOTCEE,1.53,CCOC(=O)c1cc(cc(c1)N(=O)=O)C(O)=O
XUHREX,1.53,C=CC1=NOC(C1)C1=NOC(=C1)N(=O)=O
UCIXOT,1.53,Cc1cccc(C)c1OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
YUCPUI,1.53,CN1C(=NC(=C(C1=O)N(=O)=O)N(C)c1ccccc1)N
LEFMAM,1.53,O=C(NNc1ccc(cc1N(=O)=O)N(=O)=O)c1ccccc1
BOSWUB,1.53,OCC1OC(Oc2ccccc2N(=O)=O)C(O)C(O)C1O
DARWAX,1.529,O=C(c1ccccn1)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
DUMSAG,1.529,COC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1C
KERSIK,1.529,COc1cccc(C=NNc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1OCCOc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
NUPJAJ,1.529,COc1ccc2ccc(OC)c([N+](=O)[O-])c2c1[N+](=O)[O-]
SEMYOZ01,1.529,COC(=O)C(C#N)=C(O)c1ccccc1N(=O)=O
MAZYIW,1.529,O=C(OCc1ccccc1)c1cc(cc(c1)N(=O)=O)N(=O)=O
OYUVIP,1.529,O=C(NN=Cc1ccccc1N(=O)=O)c1cnc2ccccc2n1
BECJIC,1.529,O=N(=O)C1(CC1)C1(CC1)N(=O)=O
FOBMUF,1.529,O=C1N(c2ccccc2)C(=O)c2cc(ccc12)N(=O)=O
BABBUB,1.528,O=[N+]([O-])N=C1NCCN1
FIQSIJ,1.528,COc1ccc(Cn2cc(CNC(=O)c3ccc([N+](=O)[O-])o3)nn2)cc1[N+](=O)[O-]
LABVEP,1.528,O=C(O)C=Cc1ccc([N+](=O)[O-])cc1
RUBXOD,1.528,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC=CC1
RURVUY,1.528,N#Cc1c([N+](=O)[O-])cc(C(=O)Nc2ccccc2)c2c(N)onc12
SAWMIO,1.528,O=C1CCCc2c1noc2[N+](=O)[O-]
TAFCEI,1.528,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2ccc(-c3ccccc3)cc2)c([N+](=O)[O-])c1
TEBHAJ,1.528,O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1
WIGXAN,1.528,O=c1c(O)ccccc1[N+](=O)[O-]
VENCEZ,1.528,O=Cc1cccc(c1)N(=O)=O
EQIXOS,1.528,CON(OC)C(=O)Nc1ccc(cc1)N(=O)=O
HAMTIZ01,1.528,CC(=O)Nc1cc(c(cc1C)N(=O)=O)N(=O)=O
GEZWAM,1.528,OCC12OC(C=C1)(C1C2C(=O)N(Cc2ccccc2)C1=O)N(=O)=O
PUPJEP,1.528,CCOC(=O)C(O)C1Nc2cc(ccc2NC1=O)N(=O)=O
NUQZIJ,1.528,Nc1ccc(cc1[NH+]=Cc1c([O-])ccc2ccccc12)N(=O)=O
ADIPEJ,1.528,COc1c(O)cccc1N(=O)=O
PUJJEK,1.528,CC1=NC=C(N1CCOC(=O)c1ccccc1N(=O)=O)N(=O)=O
WAPMOS,1.528,CCOC(=O)C1=NOC2CC(=O)C3OC3C2(O)C1
WOMHUD,1.528,O=C(Nc1cccnc1)Nc1ccccc1N(=O)=O
CUBKAN,1.527,COc1ccc(N2C(=O)c3ccc([N+](=O)[O-])cc3C2=O)cc1
HEHTUJ,1.527,Cc1n[nH]cc1[N+](=O)[O-]
IDEHAD,1.527,Cc1cc[nH]c(=O)c1[N+](=O)[O-]
VIGPIN,1.527,CC1([N+](=O)[O-])COC2OC(C#N)C(C[N+](=O)[O-])C2C1
KASBEL,1.527,O=N(=O)N(CCCCN(C#N)N(=O)=O)C#N
